Reference, Quantity, Value, Footprint, Datasheet, Voltage, I
C1 C8 ,2,"10uF","Capacitors_SMD:C_0603","","25v",""
C10 C11 C12 C2 C37 C5 C9 ,7,"4.7uF","Capacitors_SMD:C_0603",""
C13 C43 C44 C6 C78 C83 ,6,"10nF","Capacitors_SMD:C_0402_NoSilk",""
C14 C15 C16 C17 C24 C30 C7 C84 C85 C86 C87 C89 C90 C91 ,14,"1.0uF","Capacitors_SMD:C_0603",""
C18 C19 C20 C21 C22 C23 C53 C54 C56 C58 C61 C62 C65 C68 C69 C70 C71 C73 C75 C76 C77 ,21,"56pF","Capacitors_SMD:C_0402_NoSilk",""
C25 C26 C27 C28 C29 C3 C31 C32 C33 ,9,"100nF","Capacitors_SMD:C_0603",""
C34 C35 C45 C47 C49 C50 ,6,"1uF","Capacitors_SMD:C_0402_NoSilk",""
C36 C39 C40 C41 C42 C46 C48 C63 C64 C82 C88 ,11,"100nF","Capacitors_SMD:C_0402_NoSilk","","10v",""
C38 C4 C79 C80 ,4,"1nF","Capacitors_SMD:C_0603",""
C51 C52 C57 C60 C72 ,5,"DNP","Capacitors_SMD:C_0402_NoSilk",""
C55 C81 ,2,"1.5pF","Capacitors_SMD:C_0402_NoSilk",""
C59 C66 C67 ,3,"2.2uF","Capacitors_SMD:C_0402_NoSilk",""
C74 ,1,"5.6pF","Capacitors_SMD:C_0402_NoSilk",""
D1 D2 D3 D4 ,4,"LED","LEDs:LED_0603",""
J1 ,1,"CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
J10 J11 J12 J13 ,4,"CONN_01X01","rpi_mounting_hole:rpi_mounting_hole",""
J2 J3 J4 J5 J6 ,5,"CONN_01X01","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
J7 ,1,"UFL","hirose:u.fl",""
J8 ,1,"raspberry_pi_3_header","Socket_Strips:Socket_Strip_Straight_2x20_Pitch2.54mm",""
J9 ,1,"CONN_01X02","Connectors:SMA_THT_Jack_Straight",""
L1 ,1,"3.3uH","Inductors_SMD:L_0603","","","1A"
L10 L11 L12 L13 L9 ,5,"2.2uH","Inductors_SMD:L_0805",""
L14 ,1,"27nH","Inductors_SMD:L_0402",""
L2 L3 ,2,"1.5nH","Inductors_SMD:L_0402",""
L4 ,1,"8.2nH","Inductors_SMD:L_0402",""
L5 ,1,"100nH","Inductors_SMD:L_0402",""
L6 ,1,"6.8nH","Inductors_SMD:L_0402",""
L7 ,1,"18nH","Inductors_SMD:L_0402",""
L8 ,1,"2.7nH","Inductors_SMD:L_0402",""
Q1 ,1,"Q_PMOS_GSD","TO_SOT_Packages_SMD:SOT-23",""
R1 R52 ,2,"10","Resistors_SMD:R_0402_NoSilk",""
R2 R8 ,2,"24.9k","Resistors_SMD:R_0603",""
R22 R23 R26 R28 ,4,"330","Resistors_SMD:R_0603",""
R24 R3 ,2,"10k","Resistors_SMD:R_0603",""
R13 R14 R15 R21 R25 R27 R29 R30 R31 R32 R33 R34 R35 R51 R53 R54 R55 ,17,"100","Resistors_SMD:R_0603",""
R37 R38 ,2,"0","Resistors_SMD:R_0402_NoSilk",""
R39 R41 ,2,"150","Resistors_SMD:R_0402_NoSilk",""
R10 R11 R12 R4 R6 R9 ,6,"0","Resistors_SMD:R_0603",""
R40 R46 ,2,"36.5","Resistors_SMD:R_0402_NoSilk",""
R43 ,1,"500","Resistors_SMD:R_0402_NoSilk",""
R44 ,1,"49.9","Resistors_SMD:R_0402_NoSilk",""
R42 R45 ,2,"DNP","Resistors_SMD:R_0402_NoSilk",""
R47 ,1,"3.9","Resistors_SMD:R_0402_NoSilk",""
R48 R49 ,2,"100","Resistors_SMD:R_0402_NoSilk",""
R16 R17 R18 R19 R20 R36 R5 ,7,"DNP","Resistors_SMD:R_0603",""
R50 ,1,"30","Resistors_SMD:R_0402_NoSilk",""
R7 ,1,"30.9k","Resistors_SMD:R_0603",""
U10 ,1,"Anaren_B0430J50100AHF","anaren_balun:anaren_balun",""
U11 U12 U15 U17 ,4,"MurataSF2314E","murata_saw_filter:murata_saw_filter",""
U13 ,1,"SPF5043Z","quorvo:quorvo_spf5043z",""
U14 ,1,"RFPA0133TR7","Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm",""
U16 ,1,"RFSW1012","quorvo:rfsw1012DS",""
U18 ,1,"MAX-M8","max_8:MAX-M8",""
U2 ,1,"MCP1612","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm",""
U1 U3 ,2,"MCP1726-3302E/SN","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
U4 U5 U6 ,3,"MCP1824","TO_SOT_Packages_SMD:SOT-23-5",""
U7 ,1,"SX1301","Housings_DFN_QFN:QFN-64-1EP_9x9mm_Pitch0.5mm",""
U8 U9 ,2,"SX1257","Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm",""
X1 X2 ,2,"ABRACON-OSC","crystal_osc_1:ABRACON-OSC",""
